id,XINGBIE,CSNY,HYZK,ZHIYE,ZHICHEN,ZHIWU,XUELI,DWJJLX,DWSSHY,GRJCJS,GRZHZT,GRZHYE,GRZHSNJZYE,GRZHDNGJYE,GRYJCE,DWYJCE,DKFFE,DKYE,DKLL,label
train_1452,1,31507200,90,90,999,0,99,110,18,1602.0,1,31064.63,31604.69,3960.84,400.8,400.8,250237,219308.205,2.708,1
train_1458,1,560016000,90,90,999,0,99,110,12,6087.5,1,9139.145,5525.37,1128.4,939.06,939.06,300237,260127.585,2.708,1
train_1473,1,478454400,90,90,999,0,99,900,17,1192.0,1,31317.705,26989.68,1153.8,351.6,351.6,300237,261070.255,2.708,1
train_1493,2,375984000,90,90,999,0,99,900,15,1092.0,2,282.85,282.16,237.0,305.4,305.4,105237,93602.22,2.708,1
train_1523,1,386438400,90,90,999,0,99,190,5,12811.5,1,26877.66,15753.885,6660.945,1745.94,1745.94,350237,231341.695,2.708,1
train_1533,2,147196800,90,90,999,0,99,150,2,7237.0,1,38470.365,22607.875,6957.0,1077.0,1077.0,125237,70892.445,2.708,1
train_1569,1,449596800,90,90,999,0,99,110,12,6058.0,1,7707.025,22650.54,4066.035,935.52,935.52,110237,63630.535,2.708,1
train_1605,1,57772800,90,90,999,0,99,110,15,3372.5,1,989.52,991.955,227.89,613.26,613.26,245237,123690.76,2.708,1
train_1607,2,344448000,90,90,999,0,99,150,15,5149.5,1,30264.59,10455.37,6132.0,826.5,826.5,350237,251757.48,2.708,1
train_1656,1,133977600,90,90,999,0,99,110,16,4413.0,6,3263.35,33972.57,-18651.8,738.12,738.12,125237,69314.44,2.979,1
train_1666,1,488995200,90,90,999,0,99,190,16,6574.0,1,18785.36,37109.185,7841.4,997.44,997.44,72737,54913.985,2.708,1
train_1712,1,502214400,90,90,999,0,99,190,15,5247.0,1,6144.895,7743.41,768.13,838.2,838.2,200237,147309.88,2.708,1
train_1724,1,323366400,90,90,8,0,99,900,14,1737.0,1,275.71,237.0,237.0,312.0,312.0,65237,11589.935,3.25,1
train_1728,2,470678400,90,90,999,0,99,900,14,1192.0,1,9382.775,7127.43,771.8,303.85,303.85,205237,170843.915,2.708,1
train_1740,2,162835200,90,90,999,0,99,190,15,5347.5,1,1463.52,284.675,1461.315,850.26,850.26,290237,219008.92,2.708,1
train_1771,1,31507200,90,90,999,0,99,190,15,4492.0,1,1258.2,1285.485,224.6,747.6,747.6,300237,186487.595,2.708,1
train_1773,1,439056000,90,90,999,0,99,900,16,12737.5,1,91482.525,50419.085,12237.48,1737.06,1737.06,125237,108283.27,2.708,1
train_1785,2,84124800,90,90,999,0,99,110,15,7833.0,1,2060.04,288.34,223.455,1148.52,1148.52,288737,177581.68,2.708,1
train_1794,1,449596800,90,90,999,0,99,150,2,6062.0,1,29966.01,30139.395,-7433.0,528.25,528.25,200237,154378.305,2.708,1
train_1798,1,215625600,90,90,999,0,99,190,15,7769.5,1,83197.35,53611.085,7468.2,1140.9,1140.9,90237,237.0,2.979,1
train_1800,1,99763200,90,90,999,0,99,190,10,2737.0,1,6334.975,12091.98,-2659.565,437.0,437.0,150237,141903.66,2.979,1
train_1804,1,339177600,90,90,999,0,99,900,9,12811.5,1,43494.375,18726.62,8988.32,1745.94,1745.94,200237,122396.89,2.708,1
train_1833,1,633801600,90,90,999,0,99,150,14,1192.0,1,237.0,19938.85,-633.365,303.85,303.85,150237,139285.2,2.708,1
train_1842,1,491673600,90,90,999,0,99,900,14,5194.5,1,9625.195,10606.57,4203.0,732.75,732.75,105237,94211.655,2.708,1
train_1853,2,31507200,90,90,999,0,99,900,16,12811.5,1,139310.075,93064.905,12308.52,1745.94,1745.94,200237,56284.095,2.292,1
train_1856,1,41875200,90,90,999,0,99,110,18,5112.0,1,34867.905,49072.825,5243.54,822.0,822.0,125237,74870.825,2.708,1
train_1858,1,31507200,90,90,999,0,99,110,18,6071.5,1,10302.76,92490.53,5528.9,937.14,937.14,200237,153014.825,2.708,1
train_1869,1,444412800,90,90,999,0,99,110,18,4685.5,1,3600.235,21544.065,-256.945,770.86,770.86,300237,278763.585,2.979,1
train_1910,1,1099238400,90,90,999,0,99,120,10,1087.0,2,5458.165,5379.74,237.0,296.5,296.5,100237,24561.53,2.708,1
train_1924,2,178732800,90,90,999,0,99,110,18,4082.825,1,22754.845,16710.62,1698.56,698.5,698.5,150237,131217.72,2.708,1
train_1957,1,249753600,90,90,999,0,99,900,8,12811.0,1,79558.035,62415.965,7159.155,1745.88,1745.88,175237,113014.92,2.708,1
train_1979,1,407520000,90,90,999,0,99,900,12,9127.5,1,2368.15,10137.78,4259.92,1303.86,1303.86,194737,38789.84,2.708,1
train_2021,2,504892800,90,90,999,0,99,900,16,2504.5,1,781.2,700.145,230.6,509.1,509.1,195237,165898.53,2.708,1
train_2046,2,107712000,90,90,999,0,99,190,15,5965.5,1,34399.875,12217.95,5736.36,924.42,924.42,125237,237.0,2.979,1
train_2057,2,431193600,90,90,999,0,99,190,17,6919.0,1,4531.4,282.155,3709.7,1038.84,1038.84,250237,217134.395,2.708,1
train_2061,1,554742000,90,90,999,0,99,190,15,5022.0,1,9420.49,6391.745,1833.98,811.2,811.2,200237,182283.75,2.708,1
train_2077,1,623174400,90,90,999,0,99,300,6,3117.0,2,7218.25,35437.575,237.0,525.0,525.0,150237,145695.255,2.708,1
train_2090,2,496944000,90,90,999,0,99,900,9,3237.0,1,41434.26,26231.79,3117.0,597.0,597.0,280237,241514.965,2.708,1
train_2106,2,446918400,90,90,999,0,99,110,18,6736.5,1,31452.165,47664.645,-6110.745,1016.975,1016.975,150237,141002.205,2.708,1
train_2115,1,638899200,90,90,999,0,99,190,16,6635.0,1,4516.695,9875.455,1793.91,1004.76,1004.76,150237,138175.82,2.708,1
train_2126,2,425836800,90,90,999,0,99,110,16,4177.0,1,7753.585,10661.73,-521.44,709.8,709.8,250237,219081.64,2.708,1
train_2128,2,509990400,90,90,999,0,99,110,16,6695.5,1,18673.02,5486.24,3846.7,1012.02,1012.02,125237,111420.395,2.708,1
train_2137,1,628444800,90,90,999,0,99,190,9,4201.5,1,21271.165,17484.205,4042.92,712.74,712.74,150237,125653.765,2.708,1
train_2158,2,680972400,90,90,999,0,99,190,15,4175.5,1,33796.32,19367.05,4963.2,709.62,709.62,150237,237.0,2.708,1
train_2172,2,476035200,90,90,999,0,99,900,16,9757.5,1,27287.91,20739.985,1287.765,1379.46,1379.46,125237,93466.065,2.708,1
train_2200,1,31507200,90,90,999,0,99,110,18,6314.0,1,7523.7,12973.055,5035.68,966.26,966.26,250237,62362.32,2.979,1
train_2202,2,609951600,90,90,999,0,99,170,14,3240.0,1,41388.44,32299.26,2639.4,537.3,537.3,255237,230899.475,2.708,1
train_2203,2,815155200,90,90,999,0,99,900,15,1192.0,2,3915.515,3479.17,237.0,284.75,284.75,300237,272983.295,2.708,1
train_2211,1,241891200,90,90,999,0,99,190,15,6026.5,1,15061.55,23158.23,4854.12,931.74,931.74,125237,22821.38,2.708,1
train_2228,2,586364400,90,90,999,0,99,900,15,3349.5,1,27005.745,27103.71,-256.665,610.5,610.5,200237,183035.435,2.708,1
train_2265,2,194457600,90,90,999,0,99,900,16,12811.5,1,52855.345,25488.95,8271.06,1745.94,1745.94,200237,152394.71,2.708,1
train_2268,1,354902400,90,90,999,0,99,110,9,12494.5,1,77279.43,77977.655,14946.0,1707.9,1707.9,250237,193986.955,2.708,1
train_2281,2,549471600,90,90,999,0,99,150,15,5337.5,1,1461.12,243.155,1457.58,849.06,849.06,200237,143688.04,2.708,1
train_2289,1,375984000,90,90,999,0,99,190,5,12811.5,1,53802.72,11995.75,11789.255,1745.94,1745.94,125237,15551.485,2.708,1
train_2291,2,439056000,90,90,999,0,99,110,16,8383.0,1,18843.36,13094.19,1914.52,1214.52,1214.52,200237,155937.81,2.708,1
train_2299,2,389030400,90,90,999,0,99,900,14,7237.0,1,11438.435,5217.005,5837.0,937.0,937.0,125237,87736.88,2.708,1
train_2310,1,457459200,90,90,999,0,99,900,14,12811.5,1,34056.16,23281.72,4602.695,1494.45,1494.45,250237,193961.47,2.708,1
train_2316,2,373392000,90,90,999,0,99,190,15,4710.0,1,1885.85,270.73,1883.365,773.76,773.76,350237,221952.53,2.708,1
train_2334,1,370713600,90,90,999,0,99,900,16,12811.5,1,237.155,9243.5,-21581.505,1745.94,1745.94,250237,137912.095,2.708,1
train_2342,1,31507200,90,90,999,0,99,110,18,6165.0,1,10076.145,11567.365,2975.88,948.38,948.38,225237,65338.535,2.708,1
train_2348,1,457459200,90,90,999,0,99,110,16,6853.5,1,33905.18,73969.69,6166.68,1030.98,1030.98,125237,93466.065,2.708,1
train_2370,1,583686000,90,90,999,0,99,110,16,3177.0,1,942.6,353.24,387.375,589.8,589.8,150237,106658.595,2.979,1
train_2373,2,439056000,90,90,999,0,99,190,14,4249.5,1,37256.375,22061.31,4089.0,718.5,718.5,250237,218019.4,2.708,1
train_2417,1,202406400,90,90,999,0,99,150,15,6544.5,1,22516.765,73956.64,-70051.31,993.9,993.9,150237,237.0,2.708,1
train_2425,1,657388800,90,90,999,0,99,170,14,2237.0,1,11585.605,4766.63,2157.0,477.0,477.0,150237,137054.375,2.708,1
train_2427,2,515260800,90,90,999,0,99,110,5,5144.0,1,15975.12,7570.46,2947.28,825.84,825.84,110237,97470.44,2.979,1
train_2431,1,520527600,90,90,999,0,99,110,15,11047.5,1,5426.04,1559.16,3587.275,1534.26,1534.26,295237,176650.91,2.708,1
train_2443,1,517935600,90,90,999,0,99,190,18,2798.5,1,2825.14,3692.74,8.675,544.38,544.38,250237,114410.87,2.708,1
train_2472,1,457459200,90,90,999,0,99,190,15,5691.5,1,1546.08,2391.585,214.025,891.54,891.54,300237,235618.405,2.708,1
train_2476,1,696873600,90,90,999,0,99,150,6,1192.0,2,295.455,5421.54,237.0,313.4,313.4,270237,261128.795,2.708,1
train_2487,1,283968000,90,90,999,0,99,110,18,5174.0,1,4931.415,26690.45,-39999.48,829.46,829.46,210237,160136.09,2.708,1
train_2520,1,360172800,90,90,999,0,99,110,18,4510.0,1,5519.06,5638.32,4339.13,749.785,749.785,125237,237.0,2.708,1
train_2525,1,31507200,90,90,999,0,99,900,9,2776.0,2,354.165,352.405,237.0,541.68,541.68,159737,107916.715,3.25,1
train_2545,2,554742000,90,90,999,0,99,190,16,5851.5,1,2931.96,282.885,2922.595,910.74,910.74,300237,216773.225,2.708,1
train_2574,2,1093968000,90,90,999,0,99,160,9,12811.5,1,89529.65,85320.545,12308.52,1745.94,1745.94,245237,157288.44,2.708,1
train_2586,2,589042800,90,90,999,0,99,900,16,1192.0,1,17150.065,13263.875,1153.8,351.6,351.6,90237,83000.36,2.708,1
train_2605,2,465408000,90,90,999,0,99,900,8,12811.0,1,71203.805,22353.24,12308.04,1745.88,1745.88,125237,95028.57,2.708,1
train_2606,2,596908800,90,90,999,0,99,900,16,9753.0,1,14609.885,6851.645,6810.48,1378.92,1378.92,150237,119978.57,2.708,1
train_2628,2,499622400,90,90,999,0,99,900,18,9127.5,1,41950.34,15091.06,7405.805,1303.86,1303.86,250237,139382.105,2.708,1
train_2637,2,433785600,90,90,999,0,99,190,4,1192.0,1,22654.905,18693.32,1153.8,351.6,351.6,125237,62380.065,2.708,1
train_2649,2,31507200,90,90,999,0,99,110,18,6221.0,1,6128.52,24875.655,-17595.7,955.07,955.07,200237,16445.575,2.708,1
train_2656,1,291744000,90,90,999,0,99,900,14,12811.5,1,57330.16,28502.17,9290.64,1368.705,1368.705,125237,237.0,2.708,1
train_2662,1,715276800,90,90,999,0,99,170,14,7112.0,1,23118.425,21805.06,-8912.835,1062.0,1062.0,150237,148245.72,2.708,1
train_2677,1,549471600,90,90,999,0,99,900,15,5892.0,1,25703.835,26329.34,443.315,915.6,915.6,300237,279433.835,2.708,1
train_2760,1,596908800,90,90,999,0,99,150,11,3737.0,2,237.18,332.44,237.0,482.0,482.0,250237,231488.86,2.708,1
train_2770,1,144518400,90,90,999,0,99,900,6,5767.5,1,36932.34,24377.61,4892.855,900.66,900.66,100237,237.0,2.292,1
train_2785,1,360172800,90,90,999,0,99,190,15,4742.0,1,11609.19,34320.415,3519.52,777.6,777.6,125237,35203.865,2.708,1
train_2810,1,552063600,90,90,999,0,99,110,18,4498.5,1,13206.945,12896.91,457.66,748.425,748.425,300237,278884.375,2.708,1
train_2814,1,349804800,90,90,999,0,99,900,1,3243.5,1,20715.39,14989.26,2341.55,537.65,537.65,150237,136908.39,2.979,1
train_2833,2,473356800,90,90,999,0,99,110,16,3709.0,1,29245.14,32211.535,-58.73,653.64,653.64,210237,192828.07,2.708,1
train_2853,2,628444800,90,90,999,0,99,150,7,2737.0,1,4305.26,4847.685,1637.0,412.0,412.0,63737,46019.38,2.708,1
train_2880,1,76176000,90,90,999,0,99,190,20,6289.5,1,32505.58,27741.37,2189.73,963.3,963.3,125237,102999.515,2.708,1
train_2886,2,415296000,90,90,999,0,99,190,4,4791.5,1,1330.08,1083.735,419.725,783.54,783.54,300237,255446.515,2.979,1
train_2922,1,31507200,90,90,999,0,99,110,15,10964.5,1,46526.28,5990.07,13110.0,1524.3,1524.3,300237,237.0,2.708,1
train_2925,1,365443200,90,90,999,0,99,110,18,4608.0,1,34484.555,22974.32,4163.44,761.54,761.54,165237,127653.53,2.979,1
train_2929,1,483724800,90,90,999,0,99,110,18,4910.0,1,441.46,4022.315,419.84,797.76,797.76,300237,264403.595,2.708,1
train_2943,1,638899200,90,90,999,0,99,900,14,2952.0,1,29750.98,20732.755,2409.0,508.5,508.5,245237,163845.07,2.708,1
train_2946,2,357494400,90,90,999,0,99,900,14,9354.0,1,18559.83,7394.095,6801.24,1057.53,1057.53,125237,84046.165,2.708,1
train_2959,2,531158400,90,90,999,0,99,900,16,1192.0,1,17673.725,13779.67,1153.8,351.6,351.6,260237,170683.57,2.708,1
train_2987,1,573148800,90,90,999,0,99,110,18,6506.5,1,1087.2,2077.73,-1222.24,956.34,956.34,300237,257412.06,2.979,1
train_3015,2,596908800,90,90,999,0,99,110,16,2982.5,1,46173.66,35725.36,2819.64,566.46,566.46,125237,104751.02,2.708,1
train_3022,1,31507200,90,90,999,0,99,110,4,12811.5,1,128002.725,78301.89,12308.52,1745.94,1745.94,200237,82490.58,2.708,1
train_3024,1,633801600,90,90,999,0,99,190,20,4575.0,1,12844.8,25438.85,-4228.165,757.56,757.56,150237,147233.805,2.708,1
train_3032,1,562694400,90,90,999,0,99,900,14,1737.0,1,3681.345,6586.905,1077.0,342.0,342.0,125237,92424.395,2.708,1
train_3049,1,336585600,90,90,999,0,99,190,18,2925.5,1,1054.815,9672.705,300.37,559.62,559.62,125237,112591.41,2.708,1
train_3063,1,31507200,90,90,999,0,99,150,15,8743.0,1,66646.945,31373.96,10444.2,1257.72,1257.72,125237,237.0,2.521,1
train_3067,1,462816000,90,90,999,0,99,900,8,12811.0,1,114786.99,81305.625,5612.3,1745.88,1745.88,125237,90923.475,2.708,1
train_3105,1,665337600,90,90,999,0,99,190,5,6643.0,1,25367.71,5426.805,6386.76,1005.72,1005.72,150237,139038.95,2.708,1
train_3122,2,399657600,90,90,999,0,99,900,12,5781.5,1,4660.58,4871.31,3253.41,902.34,902.34,125237,32100.77,2.708,1
